Season,Division,Position,Position92,TopGoal,Goals,Event
2026,League One,12,56,Jack Marriott,17,None
2025,League One,7,51,Harvey Knibbs,16,None
2024,League One,17,61,Sam Smith,16,None
2023,Championship,22,42,Tom Ince,9,Relegated
2022,Championship,21,41,John Swift,11,None
2021,Championship,7,27,Lucas João,22,None
2020,Championship,14,34,Yakou Méïté,17,None
2019,Championship,20,40,Yakou Méïté,13,None
2018,Championship,20,40,Mo Barrow,10,None
2017,Championship,3,23,Yann Kermorgant,19,Play-off Runners-up
2016,Championship,17,37,Nick Blackman,11,None
2015,Championship,19,39,Simon Cox,8,None
2014,Championship,7,31,Adam Le Fondre,15,None
2013,Premier League,19,19,Adam Le Fondre,14,Relegated
2012,Championship,1,21,Adam Le Fondre,12,Promoted
2011,Championship,5,25,Shane Long,25,Play-off Runners-up
2010,Championship,9,29,Gylfi Sigurðsson,20,None
2009,Championship,4,24,Kevin Doyle,18,Play-off Semi-finalists
2008,Premier League,18,18,Dave Kitson,10,Relegated
2007,Premier League,8,8,Leroy Lita,14,None
2006,Championship,1,21,Dave Kitson,22,Promoted
2005,Championship,7,27,Dave Kitson,19,None
2004,Championship,9,29,Shaun Goater,14,None
2003,Championship,4,24,Nicky Forster,17,Play-off Semi-finalists
2002,League One,2,46,Nicky Forster,18,Promoted
2001,League One,3,47,Jamie Cureton,30,Play-off Runners-up
2000,League One,10,54,Darren Caskey,23,None
1999,League One,11,55,Martin Williams,11,None
1998,Championship,24,44,Carl Asaba,12,Relegated
1997,Championship,18,38,Trevor Morley,23,None
1996,Championship,19,39,Jimmy Quinn,17,None
1995,Championship,2,22,Stuart Lovell,14,Play-off Runners-up
1994,League One,1,45,Jimmy Quinn,40,Promoted
1993,League One,8,52,Jimmy Quinn,23,None
1992,League One,9,53,Craig Maskell,16,None
1991,League One,15,59,Trevor Senior,15,None
1990,League One,10,54,Trevor Senior,22,None
1989,League One,18,62,Trevor Senior,24,None
1988,Championship,22,44,Collin Gordon,10,Relegated
1987,Championship,13,33,Trevor Senior,24,None
1986,League One,1,45,Trevor Senior,31,Promoted
1985,League One,9,53,Trevor Senior,27,None
1984,League Two,3,71,Trevor Senior,41,Promoted
1983,League One,21,65,Kerry Dixon,32,Relegated
1982,League One,12,56,Kerry Dixon,15,None
1981,League One,10,54,Kerry Dixon,13,None
1980,League One,7,51,Pat Earles,16,None
1979,League Two,1,69,Pat Earles,19,Promoted
1978,League Two,8,76,Pat Earles,18,None
1977,League One,21,65,John Murray,19,Relegated
1976,League Two,3,71,Robin Friday,22,Promoted
1975,League Two,7,75,Robin Friday,20,None
1974,League Two,6,74,Les Chappell,28,None
1973,League Two,19,87,Les Chappell,17,None
1972,League Two,16,84,Gordon Cumming,19,None
1971,League One,21,65,Les Chappell,15,Relegated